team1_win,team1_kills,team1_gold,team1_towers,team1_dragons,team1_barons,team2_kills,team2_gold,team2_towers,team2_dragons,team2_barons,kill_diff,gold_diff,tower_diff,dragon_diff,baron_diff,gold_ratio,kill_ratio,objective_score_diff,games_count,game_duration,total_kills,total_gold,first_blood,first_tower,first_dragon,elder_dragons,herald_kills,avg_kills_per_min,gold_per_min_diff,vision_score_diff,cs_diff_15,gold_diff_15,team1_ad_count,team1_ap_count,team1_tank_count,team2_ad_count,team2_ap_count,team2_tank_count,early_game_lead,mid_game_lead,late_game_scaling,tournament_encoded,team1_side_blue,patch_major,patch_minor
1,16,36675,5,3,1,6,37736,8,2,1,10,-1061,-3,1,0,0.49287067772237975,0.7272727272727273,-1,5,40,22,74411,0,1,0,1,2,0.7655956648853168,-31.375758786595362,12,-26,1107,2,3,2,3,1,1,0.6654729519431017,-0.13219124236421664,0.02745084645776874,5,1,14.0,1.0
1,7,38056,11,1,2,8,39835,6,2,1,-1,-1779,5,-1,1,0.48858019540126585,0.4666666666666667,6,3,32,15,77891,0,0,1,0,0,0.543376687552184,-55.74840713413399,18,-39,780,1,1,2,3,1,1,0.5986057821317463,0.08821546871335428,-0.030236902658102194,6,1,14.0,5.0
0,12,27139,7,1,1,12,38281,10,3,1,0,-11142,-3,-2,0,0.4148425557933354,0.5,-7,4,31,24,65420,0,1,1,0,2,1.1121599594387797,-371.9458158851998,-42,50,-736,2,3,0,1,2,0,0.8774187119818591,0.6721811975443601,0.8950843604742267,1,1,14.0,15.0
1,21,25335,7,4,2,8,27557,4,3,1,13,-2222,3,1,1,0.47899493307116386,0.7241379310344828,8,5,23,29,52892,1,0,1,0,1,1.060258021520266,-73.24189931442403,78,-28,696,3,3,0,3,3,0,-0.12762756564622446,-0.7193795250935808,0.40870848344454713,6,0,14.0,4.0
0,14,27964,7,2,0,21,32690,10,3,1,-7,-4726,-3,-1,-1,0.46104131631879186,0.4,-8,3,31,35,60654,1,0,0,2,2,1.0309871653884712,-181.47036441116964,-51,-36,-1622,3,2,1,3,2,0,0.6348219335805938,-0.6819100916176395,0.13860426080646993,2,0,14.0,7.0
0,13,30869,7,4,1,18,26048,6,3,1,-5,4821,1,1,0,0.5423511428922817,0.41935483870967744,3,4,41,31,56917,0,1,1,2,2,1.2307148951948546,167.60966630394077,67,34,-1737,2,3,1,1,3,1,-0.4193455089588556,0.49035591361166064,-0.02375574073701414,2,0,14.0,20.0
0,5,37683,10,2,0,15,38215,8,2,1,-10,-532,2,0,-1,0.49649529631874356,0.25,-1,4,30,20,75898,0,0,1,0,0,0.9287350683762119,-18.012886661321467,-11,8,-689,2,1,2,2,2,0,-0.9380464064185374,-0.6038780132409209,-0.04287236035185482,6,0,14.0,22.0
1,22,29930,10,4,1,7,33440,8,2,2,15,-3510,2,2,-1,0.47230550733785703,0.7586206896551724,3,5,19,29,63370,1,0,0,2,0,1.3784327896699649,-133.98903819114733,42,-4,666,3,2,2,2,1,0,0.05306595419803273,0.5235999329155718,0.05250914953799213,5,1,14.0,18.0
1,18,34168,6,4,1,3,35320,9,2,1,15,-1152,-3,2,0,0.4917107989868754,0.8571428571428571,1,3,24,21,69488,0,1,0,1,2,0.5598456490761476,-36.94467114103086,98,34,415,2,3,1,3,2,1,-0.45733857963827873,0.130769879753037,0.05717162326566494,5,0,14.0,11.0
0,6,35651,8,3,1,12,36518,7,4,1,-6,-867,1,-1,0,0.49399326580664826,0.3333333333333333,-1,3,44,18,72169,0,1,1,1,0,0.5982110946518654,-33.34013764063246,-42,-26,-1002,3,3,1,1,1,2,-0.6922755466268067,0.20607153558812064,0.4439533348122715,6,0,14.0,10.0
